pair_id,poem1,poem2,poem1_dataset,poem2_dataset,question1,question1_id,question2,question2_id,question3,question3_id,question4,question4_id,question5,question5_id
6aebf6f3-62e5-46bd-8d3c-cd74a632fd1f,"i , too , the rapt contentment join and share ;<br>my tide is full ;<br>there is new happiness in earth , in air :<br>all beautiful<br>and fresh the world but now so bare and dull .","his place has neither so the blossoms of the sky , it 's dew :<br>a weary earth , a baby ,<br>rug sweet soft from her flung ears the dance lovelier still — dim — sad may<br>come down as day , when the pleasant summer year your darling<br>from the",gutenberg,lstm,Which poem is more coherent?,coherent-poem,Which poem is more melodious?,melodious-poem,Which poem do you like more?,liking-poem,Which poem looks more like a real poem?,real-poem,Which poem is more grammatical?,grammatical-poem
f474daf3-73ff-49d8-a0cf-2096c1075356,"some gentle spirit — love i thought —<br>built many a shrine of pain ;<br>though each false idol fell to dust ,<br>the worship was not vain ,<br>but a faint radiant shadow cast back from our love upon the past .","for moonlight of silver and sunlight of gold<br>glint the orchards of lemons and mangoes ,<br>and the ladies , we 're told ,<br>are a joy to behold<br>as they twine in their lissome fandangoes .",gutenberg,gutenberg,Which poem is more comprehensible?,comprehensible-poem,Which poem is more melodious?,melodious-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more coherent?,coherent-poem
40d52bc1-bf9e-432e-bd77-59b9be486f6b,"the trumpet of god , obeyed on high ,<br>his signal to open the granary<br>and send forth his heavily loaded wains<br>rambling and roaring down the sky<br>and scattering the blessed , long-harvested rains .","the castle of our desire vultures we must be seen <br>the castle with a watery lustre you might obtain <br>and the wanderer to the castle of the mind <br>cloven of our souls, and set my foot on ground <br>with what delight the meanest wanderer could understand",gutenberg,gpt2,Which poem do you like more?,liking-poem,Which poem looks more like a real poem?,real-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem is more melodious?,melodious-poem
eb2c40ac-07da-4deb-a62a-8fd7adf18e5a,"ten miles vnto a market .<br>i runne to meet a miser ,<br>then in a throng , i nip his bung ,[ 5 ]<br>and the partie ne'er the wiser .<br>still doe i cry , etc .","triumphant water; when, with slow array<br>was now in every west of lusty light<br>for on a winter's compass of a day<br>and changed it in the darkness, and the night",gutenberg,deepspeare,Which poem moves you emotionally more?,moved-poem,Which poem is more coherent?,coherent-poem,Which poem is more intense?,intense-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more melodious?,melodious-poem
3b0dcfbb-2bf8-415e-8b12-94487e6e49e8,"my ear is full of summer sounds ,<br>of summer sights my languid eye ;<br>beyond the dusty village bounds<br>i loiter in my daily rounds ,<br>and in the noon-time shadows lie .","all the bells on earth shall ring<br>on christmas day ,<br>on christmas day ;<br>all the bells on earth shall ring<br>on christmas day in the morning .",gutenberg,gutenberg,Which poem do you like more?,liking-poem,Which poem is more readable?,readable-poem,Which poem is more coherent?,coherent-poem,Which poem moves you emotionally more?,moved-poem,Which poem looks more like a real poem?,real-poem
18a8b2b1-a190-4d96-b6c3-20d2f4a60721,"we shall laugh once more as we used to do , and dance in the old-time way ,<br>for this is the pledge they have made to us who serve in the war to-day ;<br>and the joys of home that we treasure so are the joys that their lives<br>defend ,<br>and they shall give us our christmas time as soon as the war shall end .","the world was in its day of peril dark and glorious <br>wontian, marsepulchral, helen we were sons <br>in the lone sky and in the aisles stretch of dreams <br>but when the shades of death did not set <br>her eyes were dazzled,",gutenberg,gpt2,Which poem is more intense?,intense-poem,Which poem looks more like a real poem?,real-poem,Which poem has better rhyming?,rhyming-poem,Which poem do you like more?,liking-poem,Which poem is more comprehensible?,comprehensible-poem
e33aff4a-25d9-4a3b-aea5-67944b69aa5f,"and ever highest phoenix arizona ! <br>is gonna add this lovely latin phrase ! <br>they know how many highly idle bona, <br>are ye not having any lavish praise. <br><br>for simply never even pittsburgh pa, <br>or very merry christmas royal hora ! <br>the one who really cares about otha ! <br>some people wear an inner gilded forma.","in thy clear eyes i descried<br>many a proof of love , to-day ;<br>but to-night , those unbelied<br>speechful eyes being gone away ,<br>there 's the proof to seek , beside .",hafez,gutenberg,Which poem is more coherent?,coherent-poem,Which poem is more readable?,readable-poem,Which poem do you like more?,liking-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more comprehensible?,comprehensible-poem
2dcf4119-9d3b-4f64-bfb5-b2022e7024b5,"my love that , through thy feet in beauty shown <br>but i , so do i sinking on the sky <br>drops then teach it too much a nobler foe <br>for not a faultless summer on thy throat","the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the stones <br>with allrespect, as he ne'er unworthy are of sight <br>‘ tiske the modest elm",jhamtani,gpt2,Which poem is more readable?,readable-poem,Which poem do you like more?,liking-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more intense?,intense-poem,Which poem is more melodious?,melodious-poem
2da704bb-624c-4ec0-855e-5b5f08b4408a,"“ at ‘ among the fairest only i think my room for the i 'd rather<br>fought like a humble immortal stood ?<br>are such joys<br>of fading shut in my soul 's<br>between .<br>though calm they are happy as well ,","yield into peace and fear to poesy <br>from ocean clouds , and ocean and rest <br>the cup of ecstasy for the waste of pence <br>with revealed breeze , tis first your touch of heights",lstm,jhamtani,Which poem moves you emotionally more?,moved-poem,Which poem looks more like a real poem?,real-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more melodious?,melodious-poem
c85ad520-cae2-46dc-bc98-87327a3a19f1,"a bee , whose life is no more , <br>and all your tears are lost to me . <br>i think if i could have my best . <br>i 'd rather be a fool to me ;","because they always over- quoted, they,<br>the other parties, never even made,<br>perhaps they only ever uttered pay,<br>perhaps they only issued verbal, what,<br>demands for payments, nothing in the shape,<br>in any proper meaning of't' were butt,<br>in fact, or even likely, any tape,<br>however damning, ever having borne,<br>before, or even after, even- torn.",ngram,true_poetry,Which poem is more comprehensible?,comprehensible-poem,Which poem is more melodious?,melodious-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more coherent?,coherent-poem,Which poem moves you emotionally more?,moved-poem
28a5ef94-3dd7-4805-bb23-04e827c9c02f,"that there are only human mental healing, <br>we need another cardiac arrest ! <br>this common balance where no one is needing, <br>an easy way to interrupt request. <br><br>the very little children comatose ! <br>too many people having seeming lack. <br>i may not even use a single dose ! <br>but you can never really ever quack.","the castle of our desire vultures we should defend <br>and blot the modest el vines with fraternal rage <br>spread like a bessoon take of the wolves to gain <br>the castle and the hall of the devil's grim <br>the victims, girded as the bearers of air",hafez,gpt2,Which poem is more comprehensible?,comprehensible-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more grammatical?,grammatical-poem,Which poem do you like more?,liking-poem,Which poem is more melodious?,melodious-poem
d39498d6-8a36-400d-abf9-20c77186b65b,"in a fantastic glimmer of a day<br>still if not so to look upon my sight<br>only it is, but with the dawn of night<br>but to the stars— burst on and start away","because they always over- quoted, they,<br>the other parties, never even made,<br>perhaps they only ever uttered pay,<br>perhaps they only issued verbal, what,<br>demands for payments, nothing in the shape,<br>in any proper meaning of't' were butt,<br>in fact, or even likely, any tape,<br>however damning, ever having borne,<br>before, or even after, even- torn.",deepspeare,true_poetry,Which poem is more comprehensible?,comprehensible-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more coherent?,coherent-poem,Which poem is more intense?,intense-poem,Which poem do you like more?,liking-poem
44553414-2701-4717-b6a5-e9133f3c0e8d,"as free and urgent as the air that moves ,<br>as quick to tremble as æolian strings ,<br>the soul responds and thrills to hates and loves ,<br>desires and hopes , and joys and sufferings ,<br>and sympathy ’ s soft touch and anger ’ s stings .",who e'en the sacred fear enchanted by <br>and mercy stole to his wild visage sigh <br>the world in beauty o'er its navy shores <br>round many western islands have i been,gutenberg,jhamtani,Which poem is more grammatical?,grammatical-poem,Which poem looks more like a real poem?,real-poem,Which poem is more coherent?,coherent-poem,Which poem is more readable?,readable-poem,Which poem is more melodious?,melodious-poem
049cc611-dcc2-409b-bccf-7cf1089406ec,"3 there 's a passion and pride<br>in our sex ( she replied ) ,<br>and thus ( might i gratify both ) i would do :<br>still an angel appear to each lover beside ,<br>but still be a woman to you .","with his philibeg an ’ tartan plaid ,<br>an ’ gude claymore down by his side ,<br>the ladies ’ hearts he did trepan ,<br>my gallant braw john highlandman .<br>sing , hey , & c .",gutenberg,gutenberg,Which poem has better rhyming?,rhyming-poem,Which poem do you like more?,liking-poem,Which poem is more intense?,intense-poem,Which poem is more melodious?,melodious-poem,Which poem is more readable?,readable-poem
50a461b2-ce33-4197-b6da-bb00219e577f,"the castle of our desire vultures we should defend <br>and blot the modest el vines with fraternal rage <br>spread like a bessoon by the siciest women's malice rear <br>the castle snowed columns, lest it should fall <br>his ruinic heat should stain the modest air","if he left his way of christmas ,<br>the youthful of come thirty , ere beg<br>come , come , neither , all 's love , to love ,<br>we take out of the gods of my cave ,<br>the calls that no tombs were read !<br>down , my brothers get !",gpt2,lstm,Which poem is more intense?,intense-poem,Which poem is more readable?,readable-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem do you like more?,liking-poem
2284a7ca-62e6-498a-8592-5dedbf402a22,"we met , hand to hand ,<br>we clasped hands close and fast ,<br>as close as oak and ivy stand ;<br>but it is past :<br>come day , come night , day comes at last .","went dis mo'nin ’ , hyeah it ‘ s night ,<br>dah ‘ s de cabin dah in sight .<br>who 's dat stan'in ’ in de do ’ ?<br>dat must be mirandy , sho ’ ,<br>git up , suke — go long !",gutenberg,gutenberg,Which poem is more intense?,intense-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more readable?,readable-poem,Which poem looks more like a real poem?,real-poem,Which poem is more grammatical?,grammatical-poem
bdfbd085-eec0-4efc-87a9-cd33a4fbbbb8,"because it suited) her. and i began,<br>as i sometimes recount to patients stir,<br>and ended with the flourish i have ran,<br>since childhood ( even in preschool; i still,<br>sometimes remark about it) running through,<br>sometimes without intent to finish till,<br>sometimes without concern for whether. to.<br>i recall only pauses. after one,<br>i noticed her, perhaps fifteen. she spun.","there is a house with ivied walls ,<br>and mullioned windows worn and old ,<br>and the long dwellers in those halls<br>have souls that know but sordid calls ,<br>and daily dote on gold .",true_poetry,gutenberg,Which poem do you like more?,liking-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more readable?,readable-poem,Which poem is more melodious?,melodious-poem,Which poem is more coherent?,coherent-poem
77f822ce-2ebc-4210-aca4-f7030476502c,"en cada dia te aloha g. <br>my own entire island oder der, <br>this land of new edition java ee ! <br>how many people under bella ver. <br><br>are going sailing over seven seas ! <br>the only little yellow scorpio, <br>is really very lovely hercules ! <br>an orange plastic flying buffalo.","“ the song ? ” — and sparkling eye ! ”<br>“ hard lilies to the eyes that chaste hand<br>hold her sweet arms ,<br>i , half silent and nay will know<br>the birds that stupid witty<br>had built the captive taught the<br>well as i",hafez,lstm,Which poem is more grammatical?,grammatical-poem,Which poem has better rhyming?,rhyming-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more melodious?,melodious-poem,Which poem is more comprehensible?,comprehensible-poem
2a9b15f3-452d-4c81-b033-f2c3b985273e,"the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of splendid <br>who pass 'd to the poor and their slaves, in the blaze <br>and he the tables blaze in all their hands","faithful to show one star and message free <br>then kiss a feud , with her still many a space <br>o poor and brave ! to whom the palm invite <br>with the unhappy dearest of foregone song",gpt2,jhamtani,Which poem is more comprehensible?,comprehensible-poem,Which poem is more coherent?,coherent-poem,Which poem do you like more?,liking-poem,Which poem moves you emotionally more?,moved-poem,Which poem looks more like a real poem?,real-poem
b6925f6a-4fb4-4f6e-afdd-5dd0d4e21ca9,"“ o lord god , by the red<br>sullen end of the year<br>that is here ,<br>we beseech thee to guide us and strengthen our<br>swords till his slayers be dead ! ”","but inland from the seaward spaces ,<br>none knows , not even you , the places<br>brimmed , at your coming , out of sight ,<br>— the little solitudes of delight<br>this tide constrains in dim embraces .",gutenberg,gutenberg,Which poem do you like more?,liking-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more grammatical?,grammatical-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more comprehensible?,comprehensible-poem
a555573a-2435-45dc-bd69-676c7e775ee1,"( solo )<br>yonder doth the bagpipe come !<br>its sack an airy bubble .<br>schnick , schnick , schnack , with nasal hum ,<br>its notes it doth redouble .","giant oak , in his strength & his scorn<br>of the winds , by the roots was uptorn :<br>but slim reeds at his side ,<br>the fierce gale did outride ,<br>since , by bending the burden was borne .",gutenberg,gutenberg,Which poem moves you emotionally more?,moved-poem,Which poem is more readable?,readable-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more coherent?,coherent-poem,Which poem is more comprehensible?,comprehensible-poem
0796914f-5b20-4557-bdb2-307838701837,"then you should see the nest i 'd build ,<br>the wondrous nest for you and me ;<br>the outside rough perhaps , but filled<br>with wool and down ; ah , you should see<br>the cosy nest that it would be .","and thou , sweet girl , whose lovely modest mien ,<br>cheers the gay banquet with unconscious wiles ,<br>long mayest thou grace it with affection 's smiles ,<br>the vocal syren of this sylvan scene .<br>warbling thy sweetest notes ‘ midst flowers and woodlands green .",gutenberg,gutenberg,Which poem is more coherent?,coherent-poem,Which poem is more grammatical?,grammatical-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more readable?,readable-poem,Which poem looks more like a real poem?,real-poem
8d21c0dd-e5ad-4c8d-83df-a4954c7337ea,"the castle of our desire vult, and we desire <br>we should a drink, as full, as dry, and as indeed <br>we cannot touch the tables, as indeed they are <br>the stay of queens above, and list to adventures of men <br>with flowing water and a listless store","now here , now there , the shot it hailed<br>in deadly drifts of fiery spray ,<br>yet not a single soldier quailed<br>when wounded comrades round them wailed<br>their dying shout at monterey .",gpt2,gutenberg,Which poem do you like more?,liking-poem,Which poem looks more like a real poem?,real-poem,Which poem is more intense?,intense-poem,Which poem is more grammatical?,grammatical-poem,Which poem is more readable?,readable-poem
1628e806-416b-44ed-8aaf-98e149ec29f6,"then i hearkened , oh ! so early , my beloved , my beloved ,<br>to that murmur from the woodland of the dove , my dear , the dove ;<br>when the nightingale came after , “ give us fame to sweeten duty ! ”<br>when the wren sang , “ give us beauty ! ”<br>she made answer , “ give us love ! ”","and when at last your speech is o ’ er , be careful if you can<br>that none may hint — a horrid charge — that you ’ re a party man :<br>so speak for this and speak for that as blithely as you may ,<br>but keep your mental balance true , and<br>vote the other way .",gutenberg,gutenberg,Which poem moves you emotionally more?,moved-poem,Which poem is more coherent?,coherent-poem,Which poem is more comprehensible?,comprehensible-poem,Which poem is more intense?,intense-poem,Which poem is more melodious?,melodious-poem
ddd1a56f-0573-432e-9e50-90159fd08222,"out of the rolling ocean , the crowd , came a drop gently to me ,<br>whispering , i love you ; before long i die :<br>i have travelled a long way , merely to look on you , to touch you :<br>for i could not die till i once looked on you ,<br>for i feared i might afterward lose you .","and dost thou prate of all that man shall do ?<br>canst thou , who hast but plagues , presume to be<br>glad in his gladness that comes after thee ?<br>will his strength slay thy worm in hell ? go to :<br>cover thy countenance , and watch , and fear .",gutenberg,gutenberg,Which poem has better rhyming?,rhyming-poem,Which poem is more readable?,readable-poem,Which poem do you like more?,liking-poem,Which poem is more intense?,intense-poem,Which poem is more coherent?,coherent-poem
e33aff4a-25d9-4a3b-aea5-67944b69aa5f,"and ever highest phoenix arizona ! <br>is gonna add this lovely latin phrase ! <br>they know how many highly idle bona, <br>are ye not having any lavish praise. <br><br>for simply never even pittsburgh pa, <br>or very merry christmas royal hora ! <br>the one who really cares about otha ! <br>some people wear an inner gilded forma.","in thy clear eyes i descried<br>many a proof of love , to-day ;<br>but to-night , those unbelied<br>speechful eyes being gone away ,<br>there 's the proof to seek , beside .",hafez,gutenberg,Which poem is more grammatical?,grammatical-poem,Which poem is more melodious?,melodious-poem,Which poem looks more like a real poem?,real-poem,Which poem is more intense?,intense-poem,Which poem moves you emotionally more?,moved-poem
bf8412c6-6c17-405e-a9be-9fba070eb172,"then you should see the nest i 'd build ,<br>the wondrous nest for you and me ;<br>the outside rough , perhaps , but filled<br>with wool and down : ah , you should see<br>the cosey nest that it would be .","blood —<br>the soft , sticky patter of falling drops in the silence .<br>everything inundated .<br>faces float off in a red dream .<br>still the song of the sweet succulent patter .",gutenberg,gutenberg,Which poem is more comprehensible?,comprehensible-poem,Which poem looks more like a real poem?,real-poem,Which poem do you like more?,liking-poem,Which poem is more melodious?,melodious-poem,Which poem is more grammatical?,grammatical-poem
600b56b5-1cf2-4cc3-bfe8-3c812490b8a6,"the city 's song . <br>the little birds ’ s little hand <br>they made a little longer , <br>and a life that is in england 's name ,","o night , hide me in your long cold arms :<br>let me sleep , but let me not live this life !<br>there are too many people with haggard eyes standing<br>before me<br>saying , “ to live you must suffer even as we . ”",ngram,gutenberg,Which poem is more intense?,intense-poem,Which poem is more grammatical?,grammatical-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more coherent?,coherent-poem,Which poem moves you emotionally more?,moved-poem
db275a98-f7f0-46fa-b8d9-c9e69512c65f,"we know not if thou wert the word <br>that comes to thee , and i shall know <br>if i should go with you and you , <br>to seek the golden bowl where they are ,",the silly wights going out his desk <br>he shifts but one as he another day <br>sun is not now ! for never to the day <br>what gentle sweetness got connubial è n view,ngram,jhamtani,Which poem is more grammatical?,grammatical-poem,Which poem is more melodious?,melodious-poem,Which poem looks more like a real poem?,real-poem,Which poem has better rhyming?,rhyming-poem,Which poem is more coherent?,coherent-poem
f396755b-54e3-422e-b6d4-302443fac376,"blow ! blow ! night 's “ mene tekel ” even now<br>glows on her palace-walls , and she shall pass<br>like the dim vapour from a burnish 'd glass ;<br>and no chill shadows o'er the soul shall go ,<br>borne by each weeping west wind to and fro .","trod by the closes now , like the can<br>of season ” .<br>hush ! and i sadly at your door<br>brother 's wish to steep far long and foe ;<br>this time once rest , yet hid it was —<br>saw summer was the fixed upon her little bed ,",gutenberg,lstm,Which poem is more coherent?,coherent-poem,Which poem do you like more?,liking-poem,Which poem looks more like a real poem?,real-poem,Which poem is more readable?,readable-poem,Which poem moves you emotionally more?,moved-poem
c85ad520-cae2-46dc-bc98-87327a3a19f1,"a bee , whose life is no more , <br>and all your tears are lost to me . <br>i think if i could have my best . <br>i 'd rather be a fool to me ;","because they always over- quoted, they,<br>the other parties, never even made,<br>perhaps they only ever uttered pay,<br>perhaps they only issued verbal, what,<br>demands for payments, nothing in the shape,<br>in any proper meaning of't' were butt,<br>in fact, or even likely, any tape,<br>however damning, ever having borne,<br>before, or even after, even- torn.",ngram,true_poetry,Which poem has better rhyming?,rhyming-poem,Which poem looks more like a real poem?,real-poem,Which poem is more intense?,intense-poem,Which poem do you like more?,liking-poem,Which poem is more readable?,readable-poem
a6deebf0-f60a-441b-8996-fd791ecc20f2,"each other people wanna introduce. <br>but yet their inner senses stimulate, <br>how many could no longer reproduce, <br>this system hath designed to dominate. <br><br>not one of those who dare manipulate ! <br>the sake of human minds must educate ! <br>accept or stay correct or elevate ! <br>another move and then accelerate.","awaits me the least , my right , to me <br>why love i say , but count we that shouldst be <br>the part alone is satisfied with thee <br>here despise endless souls , and for in me",hafez,jhamtani,Which poem is more readable?,readable-poem,Which poem is more melodious?,melodious-poem,Which poem is more grammatical?,grammatical-poem,Which poem has better rhyming?,rhyming-poem,Which poem do you like more?,liking-poem
d7284729-0725-456a-9b03-cc45519cf42e,"then you should see the nest i 'd build ,<br>the wondrous nest for you and me ;<br>the outside rough perhaps , but filled<br>with wool and down ; ah , you should see<br>the cosy nest that it would be .","or dancing at a summer matinee. <br>and from an early evening invitation, <br>that very lovely little music play ! <br>this letter gives my number one ovation. <br><br>no need for me to wait until november ! <br>i never wanna see another scene, <br>where it ever happened by september ! <br>the world is such an awful dance routine.",gutenberg,hafez,Which poem is more readable?,readable-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more coherent?,coherent-poem,Which poem has better rhyming?,rhyming-poem,Which poem looks more like a real poem?,real-poem
3d8fb72c-2823-4b4d-99af-c6cb10850aa0,"human system may eliminate. <br>some people feel so very busy waiting ! <br>the one who really might anticipate, <br>or hardly ever thought about creating. <br><br>how many other systems you create ! <br>are never yet designed specifically, <br>for such an easy way to calculate ! <br>eternal life is only getting risky.","us under holy moral obligation ! <br>we thought that there is spiritual healing, <br>so sad to see the most manipulation, <br>being very often hated teaching. <br><br>who had a really passive meditation. <br>an only human nature utilize ! <br>what such a systematic observation ! <br>some people simply do not recognize.",hafez,hafez,Which poem has better rhyming?,rhyming-poem,Which poem is more readable?,readable-poem,Which poem moves you emotionally more?,moved-poem,Which poem looks more like a real poem?,real-poem,Which poem do you like more?,liking-poem
e2298887-56b3-4d14-adcd-489fbfb19f79,"only one left with me ,<br>one here and three above ,<br>be not afraid my precious child !<br>the shepherd of the lambs is mild ,—<br>sleep in his love .","“ yet let him keep the rest —<br>but keep them with repining restlessness :<br>let him be rich and weary , that , at least ,<br>if goodness lead him not , yet weariness<br>may toss him to my breast . ”",gutenberg,gutenberg,Which poem do you like more?,liking-poem,Which poem moves you emotionally more?,moved-poem,Which poem is more readable?,readable-poem,Which poem is more coherent?,coherent-poem,Which poem is more comprehensible?,comprehensible-poem
