id,poem1,poem2,dataset1,dataset2,coherent,grammatical,melodious,moved,real,rhyming,readable,comprehensible,intense,liking
28437e54-733a-4298-a21d-73b19799a929_1,"since he retired . though she you 'll toll <br>he needs you to the tale of birth and rite <br>“ mary hath seen we rest , your cares salute <br>whiles he comes sacred , and he speaks of gold","little would be ‘ tis brave ,<br>or paint sweet good , sweet fields ,<br>as far above them methinks<br>a dear fragrance .<br>sir and grave !<br>weary , spoken in death , with kindled a held whose beam",jhamtani,lstm,2,2,1,1,2,2,2,2,1,2
28437e54-733a-4298-a21d-73b19799a929_2,"since he retired . though she you 'll toll <br>he needs you to the tale of birth and rite <br>“ mary hath seen we rest , your cares salute <br>whiles he comes sacred , and he speaks of gold","little would be ‘ tis brave ,<br>or paint sweet good , sweet fields ,<br>as far above them methinks<br>a dear fragrance .<br>sir and grave !<br>weary , spoken in death , with kindled a held whose beam",jhamtani,lstm,1,2,2,1,1,1,1,1,1,2
7c04617d-5517-4d9d-bb6b-83458fc234a9_0,"a shorter route to india 's strand<br>columbus failed to find .<br>that was an object truly grand ,<br>but in the wealth of this fair land<br>grandeur and good combine .","when i come to the land of the sea . <br>but the great world shall be , <br>and the last leaves are free <br>to the path of our country and our woes ,",gutenberg,ngram,1,2,1,2,2,1,1,1,1,1
7c04617d-5517-4d9d-bb6b-83458fc234a9_1,"a shorter route to india 's strand<br>columbus failed to find .<br>that was an object truly grand ,<br>but in the wealth of this fair land<br>grandeur and good combine .","when i come to the land of the sea . <br>but the great world shall be , <br>and the last leaves are free <br>to the path of our country and our woes ,",gutenberg,ngram,2,2,1,2,2,2,2,1,2,1
7c04617d-5517-4d9d-bb6b-83458fc234a9_2,"a shorter route to india 's strand<br>columbus failed to find .<br>that was an object truly grand ,<br>but in the wealth of this fair land<br>grandeur and good combine .","when i come to the land of the sea . <br>but the great world shall be , <br>and the last leaves are free <br>to the path of our country and our woes ,",gutenberg,ngram,1,1,2,1,1,2,1,2,2,2
992a4216-60fd-40e6-9415-90c8f215b819_0,"there are three of old years then ,<br>some of the doorway that hide the most man could see<br>not any , nor heard my horses will , my god , whom you led me !<br>your wealth brother of my sight ,<br>lost swim into the thousand times","an hour or heaven at another shrine. <br>too many people sharing christmas praying ! <br>is something really truly great divine, <br>i hope to see supreme decision making. <br><br>but nothing causes constant meditation, <br>for any modern day abomination ! <br>so glad we had a little celebration, <br>blessings from an ancient revelation.",lstm,hafez,2,2,1,2,2,2,1,2,1,2
992a4216-60fd-40e6-9415-90c8f215b819_1,"there are three of old years then ,<br>some of the doorway that hide the most man could see<br>not any , nor heard my horses will , my god , whom you led me !<br>your wealth brother of my sight ,<br>lost swim into the thousand times","an hour or heaven at another shrine. <br>too many people sharing christmas praying ! <br>is something really truly great divine, <br>i hope to see supreme decision making. <br><br>but nothing causes constant meditation, <br>for any modern day abomination ! <br>so glad we had a little celebration, <br>blessings from an ancient revelation.",lstm,hafez,1,1,2,2,1,1,1,1,1,1
992a4216-60fd-40e6-9415-90c8f215b819_2,"there are three of old years then ,<br>some of the doorway that hide the most man could see<br>not any , nor heard my horses will , my god , whom you led me !<br>your wealth brother of my sight ,<br>lost swim into the thousand times","an hour or heaven at another shrine. <br>too many people sharing christmas praying ! <br>is something really truly great divine, <br>i hope to see supreme decision making. <br><br>but nothing causes constant meditation, <br>for any modern day abomination ! <br>so glad we had a little celebration, <br>blessings from an ancient revelation.",lstm,hafez,1,1,1,1,2,1,2,1,1,1
70968c87-cbf8-4aca-9f36-3b78485f09e9_0,"lo , now thou awakest ; so tell me in what wise<br>i shall wend back again : set a word in my mouth<br>to meet the folks ’ murmur , and give heart to the heavy ;<br>for there man speaks to man that thy measure is full ,<br>and thy five-years-old kingdom is falling asunder .","the moon is a child , and i <br>shall see the world above . <br>the mist of the rain , the snow , <br>the wind is out of the west ,",gutenberg,ngram,2,2,1,1,1,1,2,1,2,2
70968c87-cbf8-4aca-9f36-3b78485f09e9_1,"lo , now thou awakest ; so tell me in what wise<br>i shall wend back again : set a word in my mouth<br>to meet the folks ’ murmur , and give heart to the heavy ;<br>for there man speaks to man that thy measure is full ,<br>and thy five-years-old kingdom is falling asunder .","the moon is a child , and i <br>shall see the world above . <br>the mist of the rain , the snow , <br>the wind is out of the west ,",gutenberg,ngram,2,1,2,2,1,2,1,2,2,1
70968c87-cbf8-4aca-9f36-3b78485f09e9_2,"lo , now thou awakest ; so tell me in what wise<br>i shall wend back again : set a word in my mouth<br>to meet the folks ’ murmur , and give heart to the heavy ;<br>for there man speaks to man that thy measure is full ,<br>and thy five-years-old kingdom is falling asunder .","the moon is a child , and i <br>shall see the world above . <br>the mist of the rain , the snow , <br>the wind is out of the west ,",gutenberg,ngram,2,2,1,1,1,1,1,1,2,1
7b017c52-05f0-473c-94a6-e45ae13f9ca9_0,"before he painted it, that people knew,<br>before he painted something, even) you,<br>in your perfect design for me. you who,<br>before i ever tasted you ( okay,<br>before we met and during many times,<br>before i ever touched you) ever- they,<br>the brothers, painted me, before the crimes.<br>before the crimes, the painting, after. you,<br>before and after, even, painted to.","he never finished any job until,<br>before he started to remove his jerk,<br>his little wooden leg began to fill.<br>he always wanted to remove himself,<br>before his owner even had begun.<br>he always started with himself in) self.<br>before his owner ever had the one,<br>before the wooden owner ever had,<br>before he even started to be bad.",true_poetry,true_poetry,1,1,2,2,1,1,1,2,1,1
7b017c52-05f0-473c-94a6-e45ae13f9ca9_1,"before he painted it, that people knew,<br>before he painted something, even) you,<br>in your perfect design for me. you who,<br>before i ever tasted you ( okay,<br>before we met and during many times,<br>before i ever touched you) ever- they,<br>the brothers, painted me, before the crimes.<br>before the crimes, the painting, after. you,<br>before and after, even, painted to.","he never finished any job until,<br>before he started to remove his jerk,<br>his little wooden leg began to fill.<br>he always wanted to remove himself,<br>before his owner even had begun.<br>he always started with himself in) self.<br>before his owner ever had the one,<br>before the wooden owner ever had,<br>before he even started to be bad.",true_poetry,true_poetry,2,1,1,2,2,2,1,1,2,1
7b017c52-05f0-473c-94a6-e45ae13f9ca9_2,"before he painted it, that people knew,<br>before he painted something, even) you,<br>in your perfect design for me. you who,<br>before i ever tasted you ( okay,<br>before we met and during many times,<br>before i ever touched you) ever- they,<br>the brothers, painted me, before the crimes.<br>before the crimes, the painting, after. you,<br>before and after, even, painted to.","he never finished any job until,<br>before he started to remove his jerk,<br>his little wooden leg began to fill.<br>he always wanted to remove himself,<br>before his owner even had begun.<br>he always started with himself in) self.<br>before his owner ever had the one,<br>before the wooden owner ever had,<br>before he even started to be bad.",true_poetry,true_poetry,1,1,1,1,2,1,1,2,2,1
3e47dacb-57f4-41ce-87c3-6b92c9f301bb_0,"i am tire now of roam ’ , rosemarie ,<br>an ’ long to be at home ‘ mong de tree ,<br>w'ere de robin redbreas ’ sing<br>in de branches every spring ,<br>an ’ de bes ’ of everyt'ing , you wit ’ me !","they wanna listen mister uncle ben. <br>have mercy goodness gracious bad email ! <br>not even bother calling me amen, <br>for whom my mother ought to send e mail. <br><br>too many people under handed swords, <br>a random form of java javascript ! <br>and putting freedom on the message boards ! <br>an answer never ever really zipped.",gutenberg,hafez,2,2,2,1,1,1,1,2,1,2
3e47dacb-57f4-41ce-87c3-6b92c9f301bb_1,"i am tire now of roam ’ , rosemarie ,<br>an ’ long to be at home ‘ mong de tree ,<br>w'ere de robin redbreas ’ sing<br>in de branches every spring ,<br>an ’ de bes ’ of everyt'ing , you wit ’ me !","they wanna listen mister uncle ben. <br>have mercy goodness gracious bad email ! <br>not even bother calling me amen, <br>for whom my mother ought to send e mail. <br><br>too many people under handed swords, <br>a random form of java javascript ! <br>and putting freedom on the message boards ! <br>an answer never ever really zipped.",gutenberg,hafez,2,2,1,2,2,2,2,1,2,2
3e47dacb-57f4-41ce-87c3-6b92c9f301bb_2,"i am tire now of roam ’ , rosemarie ,<br>an ’ long to be at home ‘ mong de tree ,<br>w'ere de robin redbreas ’ sing<br>in de branches every spring ,<br>an ’ de bes ’ of everyt'ing , you wit ’ me !","they wanna listen mister uncle ben. <br>have mercy goodness gracious bad email ! <br>not even bother calling me amen, <br>for whom my mother ought to send e mail. <br><br>too many people under handed swords, <br>a random form of java javascript ! <br>and putting freedom on the message boards ! <br>an answer never ever really zipped.",gutenberg,hafez,2,2,2,1,1,1,1,1,1,2
8e3154f4-e91b-4b3d-a891-592b491b19b0_0,"this was her birth-day here ,<br>when summer 's latest flowers<br>were kindling to their flush and prime ,<br>as if they felt how short the time<br>in these terrestrial bowers .","with only many high commandment thou. <br>for whom we never often virgin mary, <br>who ever heard an angry solemn vow ! <br>not any mother catholic missionary. <br><br>this very little father holy see ! <br>my brother there is celebrating easter, <br>to worship jesus politician b ! <br>or nothing like an old religious leader.",gutenberg,hafez,1,1,2,2,2,2,2,2,2,2
8e3154f4-e91b-4b3d-a891-592b491b19b0_1,"this was her birth-day here ,<br>when summer 's latest flowers<br>were kindling to their flush and prime ,<br>as if they felt how short the time<br>in these terrestrial bowers .","with only many high commandment thou. <br>for whom we never often virgin mary, <br>who ever heard an angry solemn vow ! <br>not any mother catholic missionary. <br><br>this very little father holy see ! <br>my brother there is celebrating easter, <br>to worship jesus politician b ! <br>or nothing like an old religious leader.",gutenberg,hafez,2,2,2,1,1,1,1,2,1,1
8e3154f4-e91b-4b3d-a891-592b491b19b0_2,"this was her birth-day here ,<br>when summer 's latest flowers<br>were kindling to their flush and prime ,<br>as if they felt how short the time<br>in these terrestrial bowers .","with only many high commandment thou. <br>for whom we never often virgin mary, <br>who ever heard an angry solemn vow ! <br>not any mother catholic missionary. <br><br>this very little father holy see ! <br>my brother there is celebrating easter, <br>to worship jesus politician b ! <br>or nothing like an old religious leader.",gutenberg,hafez,1,2,2,1,2,2,2,2,1,1
00105a93-f3b0-4083-92f1-e4c35a73e64a_0,"death<br>i never become a man who 's thief and frankly<br>from leafless as sunny please thee<br>as presence , weak from human free up within<br>the tongues snake clouds and no meet many .<br>the days that from the dark gloom ,","the drone of clouds must sudden be your anguish <br>for if they weep for me , thy strings ill ease <br>i prove on earth in each imaginings <br>virtuous and so well in many a story",lstm,jhamtani,2,2,1,2,1,1,1,2,2,1
00105a93-f3b0-4083-92f1-e4c35a73e64a_1,"death<br>i never become a man who 's thief and frankly<br>from leafless as sunny please thee<br>as presence , weak from human free up within<br>the tongues snake clouds and no meet many .<br>the days that from the dark gloom ,","the drone of clouds must sudden be your anguish <br>for if they weep for me , thy strings ill ease <br>i prove on earth in each imaginings <br>virtuous and so well in many a story",lstm,jhamtani,2,1,1,2,1,2,1,2,1,1
00105a93-f3b0-4083-92f1-e4c35a73e64a_2,"death<br>i never become a man who 's thief and frankly<br>from leafless as sunny please thee<br>as presence , weak from human free up within<br>the tongues snake clouds and no meet many .<br>the days that from the dark gloom ,","the drone of clouds must sudden be your anguish <br>for if they weep for me , thy strings ill ease <br>i prove on earth in each imaginings <br>virtuous and so well in many a story",lstm,jhamtani,1,1,2,1,1,2,2,1,1,1
54e2704e-3356-49bb-b987-e3fed10293f3_0,"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside","without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",jhamtani,hafez,2,1,1,1,1,2,2,1,2,2
54e2704e-3356-49bb-b987-e3fed10293f3_1,"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside","without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",jhamtani,hafez,2,1,2,2,1,2,2,2,2,2
54e2704e-3356-49bb-b987-e3fed10293f3_2,"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside","without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",jhamtani,hafez,2,2,2,1,2,2,2,2,2,1
6f54af27-96f2-43d8-8808-4e032518341c_0,"as from an ancestral oak<br>two empty ravens sound their clarion ,<br>yell by yell , and croak by croak ,<br>when they scent the noonday smoke<br>of fresh human carrion :—","however, carry to another place,<br>and into other limits. i am ill,<br>alas! without relief; and, in my case,<br>the doctors cannot rightly profit me.<br>i therefore wander here, deprived alike,<br>i know. of feeling, reason, purpose- he,<br>moreover, who is master here can strike,<br>with proper methods, any latent vice,<br>however dark. besides myself. the price.",gutenberg,true_poetry,2,2,1,2,1,2,1,1,2,2
6f54af27-96f2-43d8-8808-4e032518341c_1,"as from an ancestral oak<br>two empty ravens sound their clarion ,<br>yell by yell , and croak by croak ,<br>when they scent the noonday smoke<br>of fresh human carrion :—","however, carry to another place,<br>and into other limits. i am ill,<br>alas! without relief; and, in my case,<br>the doctors cannot rightly profit me.<br>i therefore wander here, deprived alike,<br>i know. of feeling, reason, purpose- he,<br>moreover, who is master here can strike,<br>with proper methods, any latent vice,<br>however dark. besides myself. the price.",gutenberg,true_poetry,2,2,2,2,1,1,1,1,1,2
6f54af27-96f2-43d8-8808-4e032518341c_2,"as from an ancestral oak<br>two empty ravens sound their clarion ,<br>yell by yell , and croak by croak ,<br>when they scent the noonday smoke<br>of fresh human carrion :—","however, carry to another place,<br>and into other limits. i am ill,<br>alas! without relief; and, in my case,<br>the doctors cannot rightly profit me.<br>i therefore wander here, deprived alike,<br>i know. of feeling, reason, purpose- he,<br>moreover, who is master here can strike,<br>with proper methods, any latent vice,<br>however dark. besides myself. the price.",gutenberg,true_poetry,2,2,1,2,1,2,1,1,2,2
63f3c1e5-c324-4874-9061-8395c56d5a4e_0,"spin , spin , belle mergaton !<br>the little good folk the spell they have cast ;<br>by your work well done while the moon hath shone ,<br>ye shall cleave unto joy at last —<br>gigoton , mergaton , spin !","exactly) it is i am saying. you,<br>perhaps you never really wanted) shut,<br>forever. even now you cannot do,<br>without becoming something even worse.<br>because, again. again, i am again,<br>again myself, without distinction( curse,<br>perhaps. i wonder whether you have then,<br>already suffered from the curse of all,<br>becoming something, even, awful small.",gutenberg,true_poetry,1,1,1,2,2,2,2,1,1,2
63f3c1e5-c324-4874-9061-8395c56d5a4e_1,"spin , spin , belle mergaton !<br>the little good folk the spell they have cast ;<br>by your work well done while the moon hath shone ,<br>ye shall cleave unto joy at last —<br>gigoton , mergaton , spin !","exactly) it is i am saying. you,<br>perhaps you never really wanted) shut,<br>forever. even now you cannot do,<br>without becoming something even worse.<br>because, again. again, i am again,<br>again myself, without distinction( curse,<br>perhaps. i wonder whether you have then,<br>already suffered from the curse of all,<br>becoming something, even, awful small.",gutenberg,true_poetry,1,2,1,1,1,1,1,1,1,2
63f3c1e5-c324-4874-9061-8395c56d5a4e_2,"spin , spin , belle mergaton !<br>the little good folk the spell they have cast ;<br>by your work well done while the moon hath shone ,<br>ye shall cleave unto joy at last —<br>gigoton , mergaton , spin !","exactly) it is i am saying. you,<br>perhaps you never really wanted) shut,<br>forever. even now you cannot do,<br>without becoming something even worse.<br>because, again. again, i am again,<br>again myself, without distinction( curse,<br>perhaps. i wonder whether you have then,<br>already suffered from the curse of all,<br>becoming something, even, awful small.",gutenberg,true_poetry,2,1,1,2,2,1,2,1,1,2
27f67cec-a04d-445b-b958-042877674a02_0,"when the sun 's low ray in the sky . <br>and my house is waiting for the sky , <br>i shall have a song , and then <br>with a tongue , a little while ,",the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the wand <br>with all her cruell wand'rer as he rides along <br>the meanest serf on sir launfal,ngram,gpt2,1,1,2,2,1,1,2,1,1,2
27f67cec-a04d-445b-b958-042877674a02_1,"when the sun 's low ray in the sky . <br>and my house is waiting for the sky , <br>i shall have a song , and then <br>with a tongue , a little while ,",the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the wand <br>with all her cruell wand'rer as he rides along <br>the meanest serf on sir launfal,ngram,gpt2,1,2,1,1,1,1,1,1,1,1
27f67cec-a04d-445b-b958-042877674a02_2,"when the sun 's low ray in the sky . <br>and my house is waiting for the sky , <br>i shall have a song , and then <br>with a tongue , a little while ,",the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the wand <br>with all her cruell wand'rer as he rides along <br>the meanest serf on sir launfal,ngram,gpt2,1,1,1,1,1,2,1,1,1,1
f976aae9-7678-4044-bb7d-dc47dfb16e4c_0,"oh! when they might be with an evil hour<br>bright with the stars, that's transport by a shower<br>and dash'd into the light, at night by day<br>and to a mournful music burst away","i saw a tree . i heard no sound <br>of a great heart that is not a dream . <br>come down , come down , come near , <br>and i shall be long and long ago .",deepspeare,ngram,1,1,1,2,1,2,2,2,2,2
f976aae9-7678-4044-bb7d-dc47dfb16e4c_1,"oh! when they might be with an evil hour<br>bright with the stars, that's transport by a shower<br>and dash'd into the light, at night by day<br>and to a mournful music burst away","i saw a tree . i heard no sound <br>of a great heart that is not a dream . <br>come down , come down , come near , <br>and i shall be long and long ago .",deepspeare,ngram,2,2,2,1,1,1,2,2,1,1
f976aae9-7678-4044-bb7d-dc47dfb16e4c_2,"oh! when they might be with an evil hour<br>bright with the stars, that's transport by a shower<br>and dash'd into the light, at night by day<br>and to a mournful music burst away","i saw a tree . i heard no sound <br>of a great heart that is not a dream . <br>come down , come down , come near , <br>and i shall be long and long ago .",deepspeare,ngram,2,1,2,2,2,2,1,2,2,2
bc98a444-6137-4b2b-a671-3594427f4b14_0,"your lips — but i have no words , janette —<br>they were fresh as the twitter of birds — my pet ,<br>when the spring is young , and the roses are wet ,<br>with the dewdrops in each red bosom set ,<br>and they suited your gold brown hair — my pet .","the sun is on the mountain side , <br>the sun 's young flowers are green ; <br>and every one that the children were wed . <br>the old man with his son ,",gutenberg,ngram,2,2,2,2,1,1,1,1,2,2
bc98a444-6137-4b2b-a671-3594427f4b14_1,"your lips — but i have no words , janette —<br>they were fresh as the twitter of birds — my pet ,<br>when the spring is young , and the roses are wet ,<br>with the dewdrops in each red bosom set ,<br>and they suited your gold brown hair — my pet .","the sun is on the mountain side , <br>the sun 's young flowers are green ; <br>and every one that the children were wed . <br>the old man with his son ,",gutenberg,ngram,1,1,1,1,1,1,2,2,1,1
bc98a444-6137-4b2b-a671-3594427f4b14_2,"your lips — but i have no words , janette —<br>they were fresh as the twitter of birds — my pet ,<br>when the spring is young , and the roses are wet ,<br>with the dewdrops in each red bosom set ,<br>and they suited your gold brown hair — my pet .","the sun is on the mountain side , <br>the sun 's young flowers are green ; <br>and every one that the children were wed . <br>the old man with his son ,",gutenberg,ngram,2,2,1,2,2,2,2,2,1,1
1693620d-7ae0-44f5-a438-e51298c33080_0,"but kindling sun flew with a living day<br>no way was left within the place to lay<br>at length he saw she on his speed again<br>the path he had, and set it with his pain","once , brother , what is good , and passionate children ,<br>and this are nursed , and , send !<br>the when they complain , at morning abroad , may lost be indeed ,<br>must all is really no shone has loving to be here . ”<br>“ the morrow passed",deepspeare,lstm,2,2,2,1,1,2,1,1,2,1
1693620d-7ae0-44f5-a438-e51298c33080_1,"but kindling sun flew with a living day<br>no way was left within the place to lay<br>at length he saw she on his speed again<br>the path he had, and set it with his pain","once , brother , what is good , and passionate children ,<br>and this are nursed , and , send !<br>the when they complain , at morning abroad , may lost be indeed ,<br>must all is really no shone has loving to be here . ”<br>“ the morrow passed",deepspeare,lstm,1,2,1,1,1,1,1,1,2,2
1693620d-7ae0-44f5-a438-e51298c33080_2,"but kindling sun flew with a living day<br>no way was left within the place to lay<br>at length he saw she on his speed again<br>the path he had, and set it with his pain","once , brother , what is good , and passionate children ,<br>and this are nursed , and , send !<br>the when they complain , at morning abroad , may lost be indeed ,<br>must all is really no shone has loving to be here . ”<br>“ the morrow passed",deepspeare,lstm,1,1,2,1,1,1,1,1,2,1
a247760e-5ddf-40f7-bc2a-5398aee58dd5_0,"and says he was, engaging ev'ry day<br>but parson were a chin upon the breast<br>and she asked her in the place to say<br>she left her back:— he presently at last","and far up into sunset, scattered vast<br>that god's infinite darkness into strife<br>yet lo! the spot of all a world of life<br>and never with the everlasting rest",deepspeare,deepspeare,2,1,2,1,1,1,1,1,1,1
a247760e-5ddf-40f7-bc2a-5398aee58dd5_1,"and says he was, engaging ev'ry day<br>but parson were a chin upon the breast<br>and she asked her in the place to say<br>she left her back:— he presently at last","and far up into sunset, scattered vast<br>that god's infinite darkness into strife<br>yet lo! the spot of all a world of life<br>and never with the everlasting rest",deepspeare,deepspeare,1,1,1,1,1,1,2,1,1,1
a247760e-5ddf-40f7-bc2a-5398aee58dd5_2,"and says he was, engaging ev'ry day<br>but parson were a chin upon the breast<br>and she asked her in the place to say<br>she left her back:— he presently at last","and far up into sunset, scattered vast<br>that god's infinite darkness into strife<br>yet lo! the spot of all a world of life<br>and never with the everlasting rest",deepspeare,deepspeare,2,1,1,1,1,1,1,2,1,1
1da0b212-4a3e-4bbf-9d64-0a400d1dfb87_0,"the days were dark and long , long nights , <br>and love , and all , the world has been <br>a thousand years and ever had been swept <br>through the dark woods , in the dark and","“ ye are dead , ” creatures and the word <br>of the old world 's crystal and can see , <br>but the world is a woman to thee , <br>and in thy soul , thy spirit white",ngram,ngram,2,2,2,2,1,2,1,2,1,2
1da0b212-4a3e-4bbf-9d64-0a400d1dfb87_1,"the days were dark and long , long nights , <br>and love , and all , the world has been <br>a thousand years and ever had been swept <br>through the dark woods , in the dark and","“ ye are dead , ” creatures and the word <br>of the old world 's crystal and can see , <br>but the world is a woman to thee , <br>and in thy soul , thy spirit white",ngram,ngram,1,2,1,1,2,1,2,1,2,1
1da0b212-4a3e-4bbf-9d64-0a400d1dfb87_2,"the days were dark and long , long nights , <br>and love , and all , the world has been <br>a thousand years and ever had been swept <br>through the dark woods , in the dark and","“ ye are dead , ” creatures and the word <br>of the old world 's crystal and can see , <br>but the world is a woman to thee , <br>and in thy soul , thy spirit white",ngram,ngram,2,1,2,1,1,2,1,1,1,2
